Id,Time,Name,Heartrate
21,100437,Stefan mit einem s,79
17,10776,Stefan2,77
16,10781,Capricose Lucia De,68
1,1114,Stefan Hermann48.97309,62
2,1178,Stefan Hermann3.919673,78
0,1235,Stefan Hermann40.918465,88
4,13286,Rachael Rosen2,80
14,13413,Stefan Stefanius H,86
22,138562,Stefan2,77
6,13917,Rachael Rosen2,71
9,1505,Rachael Rosen2,66
10,1512,Rachael Rosen2,85
5,15391,Rick Deckard2,80
8,1568,Rachael Rosen2,66
11,1574,Rachael Rosen2,84
18,16062,Eins,69
15,16353,Stefan Stefanius H,75
12,1701,Rachael Rosen2,66
13,1769,Rachael Rosen2,66
3,28604,Rachael Rosen2,80
20,411003,Linda,108
19,52517,David Hermann,88
7,56905,Rachael Rosen2,83
