Id,Time,Name,Heartrate
31,10449,Player 1,66
29,10884,Rachael Rosen,66
39,126504,Joelle,92
35,143840,Player 2,79
40,355040,Player 2,115
38,4039,Hobbin Wood,89
36,4049,Stefan,87
28,44766,Rachael Rosen,76
1,51000,Rachel Rosen,80
2,52000,sam bell,80
3,53000,sarah connor,80
4,54000,david bowman,80
11,55000,katniss everdeen,80
12,56000,wikus vd merwe,80
13,57000,snake plissken,80
14,58000,dominic cobb,80
15,59000,buck rodgers,80
16,60000,george taylor,80
41,60299,DIEGO,105
34,6087,Player 1,66
17,61000,nada,80
18,62000,tuck pendleton,80
19,63000,kyle reese,80
20,64000,john j adams,80
21,65000,kevin flynn,80
33,6538,Player 2,66
22,66000,max rockatansky,80
23,67000,thomas anderson,80
24,68000,chris kelvin,80
25,69000,scott carey,80
26,70000,seth bundle,80
27,71000,klaatu,80
28,72000,roy batty,80
29,73000,Alan Schaefer,80
30,74000,Alex Murphy,80
42,74884,DIEGO,92
31,75000,Malcolm Raynolds,80
32,76000,Flash Gordon,80
33,77000,MacReady,80
34,78000,The Doctor,80
37,80181,Player 2,91
30,8533,Player 1,66
32,8710,Player 2,66
